sites_lower,n
"sushana r 334-40, yukon, alaska",2
"susitna r 247-41, cook inlet, alaska",2
"sweetheart lk 111-35, southeast, alaska",2
"switzer cr 111-40, southeast, alaska",2
"tacoma, wa",2
"tahini r 115-32, southeast, alaska",2
"tahltan lake, southeast, alaska",2
"taholah, wa",2
"taiya inlet 115-34, southeast, alaska",2
"taiya river, alaska",2
"takatz bay 112-11, southeast, alaska",2
"takotna, ak",2
"taku inlet 111-32, southeast, alaska",2
"taku r 111-32, southeast, alaska",2
"talbot lk 101-47, southeast, alaska",2
"tamgas cr 101-25, southeast, alaska",2
"tamgas cr+davis cr 101, southeast, alaska",2
"tanada creek, copper river, alaska",2
"tatitlek 221-50, prince william sound, alaska",2
"tatitlek, ak",2
"tawah cr 182-80, southeast, alaska",2
"tawah creek, southeast, alaska",2
"telluride, co",2
"telrod cove 254-40, kodiak, alaska",2
"ten mile lake 212-20, copper river, alaska",2
"tent cr 101-25, southeast, alaska",2
"tequesta, fl",2
"tern lk 244-30, cook inlet, alaska",2
"tern+quartz cr244-30, cook inlet, alaska",2
"thane net pens 111-40, southeast, alaska",2
the geographic region covers the whole state of alaska.,2
these data cover all limited fisheries in the state of alaska.,2
"thomas basin 101-47, southeast, alaska",2
"thomas bay 110-12, southeast, alaska",2
"thoms place, southeast, alaska",2
"thorne bay 102-70, southeast, alaska",2
"thorsheim creek, kodiak, alaska",2
"thumb cove 231-30, cook inlet, alaska",2
"tokeen, ak",2
"tokeland, wa",2
"tokun lake, copper river, alaska",2
"tokyo cr 101-25, southeast, alaska",2
"toledo harbor 109-10, southeast, alaska",2
"toledo, or",2
"tonasket, wa",2
"tonsina r 212-20, copper river, alaska",2
"totemoff cr 226-20, prince william sound, alaska",2
"tranquil lk 109-10, southeast, alaska",2
"trapper creek, ak",2
"triangle lk 101-42 (b), southeast, alaska",2
"trout lk 101-27, southeast, alaska",2
"troutdale, or",2
"tsiu-tsivat r 192-42, southeast, alaska",2
"tualatin, or",2
"tubutulik river, norton sound, alaska",2
"tumwater, wa",2
"tunga lk 103-90, southeast, alaska",2
"turlock, ca",2
"tustumena lk 244-30, cook inlet, alaska",2
"tutka bay 241-16, cook inlet, alaska",2
"twelvemile creek 102-60, southeast, alaska",2
"twin falls cr 244-70 (b), cook inlet, alaska",2
"twin lk 247-50, cook inlet, alaska",2
"twin lks 111-40, southeast, alaska",2
"two rivers, ak",2
"tyonek, ak",2
"ugashik, ak",2
"unalakleet, ak",2
"unuk r 101-75, southeast, alaska",2
"upper malina lk 251-10, kodiak, alaska",2
"upper paint lk 249-52 (b), cook inlet, alaska",2
"upper russian lk 244-30, cook inlet, alaska",2
"upper thumb r 255-10, kodiak, alaska",2
"ursus lk 249-80 (b), cook inlet, alaska",2
"uvalde, tx",2
"valdez glacier str 221-61, prince william sound, alaska",2
"valdez harbor 221-61, prince william sound, alaska",2
"valdez old town site 221, prince william sound, alaska",2
"vallenar cr 101-29, southeast, alaska",2
"vaughn, wa",2
"vernonia, or",2
"virginia lk 107-40, southeast, alaska",2
"vista, ca",2
"w port camden 109-43, southeast, alaska",2
"w side ponds 101-15, southeast, alaska",2
"walla walla, wa",2
"ward cove 101-47, southeast, alaska",2
"ward creek, southeast, alaska",2
"ward lk 101-47, southeast, alaska",2
"warm chuck lk 103-80, southeast, alaska",2
"warrenton, or",2
"wasilla cr 247-50, cook inlet, alaska",2
"wasilla lk 247-50, cook inlet, alaska",2
"wells passage 223-40, prince william sound, alaska",2
"wenatchee, wa",2
"whale pass 106-30, southeast, alaska",2
"white mountain, ak",2
"whitefish, mt",2
"whittier hbr 224-10, prince william sound, alaska",2
"whittier+cordova, southeast, alaska",2
"whittier+flemming+lk, prince william sound, alaska",2
"whittier+lake bay, prince william sound, alaska",2
"willie lowe cr107-40, southeast, alaska",2
"willow cr 247-41, cook inlet, alaska",2
"willow+deception 247-41, cook inlet, alaska",2
"wilmington, nc",2
"windfall creek, southeast, alaska",2
"winthrop, wa",2
"wiseman, ak",2
"wood cr 334-40, yukon, alaska",2
"wood creek, yukon, alaska",2
"woodburn, or",2
"woodland, ca",2
"woodland, wa",2
"woodpecker lk 101-80, southeast, alaska",2
"woodway, wa",2
"wrinkleneck cr113-41, southeast, alaska",2
"yacolt, wa",2
"yakima, wa",2
"yankeetown, fl",2
"yehring cr 111-32, southeast, alaska",2
"yehring creek, southeast, alaska",2
"yohn lk 247-41, cook inlet, alaska",2
"zephyrhills, fl",2
"’atna’, common name copper river, copper river, alaska",1
"108 creek, southeast, alaska",1
"18 mile slough, southeast, alaska",1
"27-mile slough, copper river, alaska",1
"3 lakes below kagati lake, kuskokwim, alaska",1
"37 mile creek, southeast, alaska",1
"39-mile creek, copper river, alaska",1
"39-mile creek, prince william sound, alaska",1
"áa tlein, common name atlin, yukon, alaska",1
"aalaa kkaakk’et, common name allakaket, yukon, alaska",1
"aałseix̱, common name alsek river, southeast, alaska",1
"aangóon, common name angoon, southeast, alaska",1
"aberdeen, md",1
"aberdeen, sd",1
"abilene, tx",1
"absarokee, mt",1
"acampo, ca",1
"achan-ingiiga, common name akutan, alaska peninsula and aleutian islands, alaska",1
"acme, wa",1
"acton, ca",1
"adaax, common name adak island, alaska peninsula and aleutian islands, alaska",1
"adak (city/community), alaska peninsula and aleutian islands, alaska",1
"adams, ok",1
"adams, or",1
"addy, wa",1
"admiralty creek, southeast, alaska",1
"afognak, ak",1
"afton, mn",1
"agashashok river, kotzebue, alaska",1
"agdaagux tribe of king cove, king cove, alaska peninsula and aleutian islands, alaska",1
"agdaaĝuxˆ, common name king cove, alaska peninsula and aleutian islands, alaska",1
"agiapuk river, norton sound/port clarence, alaska",1
"agisaq, common name pilot point, bristol bay, alaska",1
"agw’aneq, common name afognak, kodiak, alaska",1
"ahrnklin river, southeast, alaska",1
"ahsahka, id",1
"aialik lake, lower cook inlet, alaska",1
"airway heights, wa",1
"akalura creek, kodiak, alaska",1
"akalura lake, alaska",1
"akalura river, alaska",1
"akhiok (city/community), kodiak, alaska",1
"akiachak (city/community), kuskokwim, alaska",1
"akiachak (village/city), kuskokwim, alaska",1
"akiachak native community, akiachak, kuskokwim, alaska",1
"akiacuar, common name akiachak, kuskokwim, alaska",1
"akiak (city/community), kuskokwim, alaska",1
"akiak (village/city), kuskokwim, alaska",1
"akiak native community, akiak, kuskokwim, alaska",1
"akiaq, common name akiak, kuskokwim, alaska",1
"akutan (city/community), alaska peninsula and aleutian islands, alaska",1
"alaasuq, common name alatna, yukon, alaska",1
"alachua, fl",1
"alagnak river, bristol bay south, ak",1
"alagnak river, bristol bay south, alaska",1
"alakanuk (city/community), yukon, alaska",1
"alakanuk (village/city), yukon, alaska",1
"alameda, ca",1
"alamo, ca",1
"alaqnaqiq, common name aleknagik, bristol bay, alaska",1
"alarneq, common name alakanuk, yukon, alaska",1
"alatna (village/city), yukon, alaska",1
"alatna river, yukon, alaska",1
"alatna village, alatna, yukon, alaska",1
"albany, ca",1
"albany, ny",1
"albion, ca",1
"albion, wa",1
"alecks creek, southeast, alaska",1
"aledo, tx",1
"aleknagik (city/community), bristol bay, alaska",1
"algaaciq native village (st. mary's), saint marys, yukon, alaska",1
"algonac, mi",1
"aliso viejo, ca",1
"allakaket (village/city), yukon, alaska",1
"allakaket village, allakaket, yukon, alaska",1
"allen creek, yukon, alaska",1
"allen river, alaska",1
"allyn, wa",1
"aloha creek, yukon, alaska",1
"aloha, or",1
"alpharetta, ga",1
"alpine, tx",1
alsek r at dry bay nr yakutat ak,1
"alsek/klukshu river, southeast, alaska",1
"altadena, ca",1
"altamonte springs, fl",1
"altaville, ca",1
"altmar, ny",1
"alto, mi",1
"alvadore, or",1
"amanda park, wa",1
"amarillo, tx",1
"ambler (city/community), kotzebue, alaska",1
"ambler river, kotzebue, alaska",1
"american canyon, ca",1
"american river, norton sound/port clarence, alaska",1
"ames, ia",1
"amesbury, ma",1
"amity, or",1
"anaheim, ca",1
"anahola, hi",1
"anaktuvuk pass, ak",1
"anaktuvuk pass, yukon, alaska",1
"anan creek, southeast, alaska",1
"anchor point (city/community), cook inlet, alaska",1
anchor r nr anchor point ak,1
"anchor river, cook inlet, alaska",1
"anchorage (city/community), cook inlet, alaska",1
"andersen creek, southeast, alaska",1
"andersen slough, yukon, alaska",1
"anderson (city/community), yukon, alaska",1
"anderson, ca",1
"andover, mn",1
"andrews, tx",1
"anĝaaxchaluxˆ, common name st. george, alaska peninsula and aleutian islands, alaska",1
"angagkitaqnuuq, common name seldovia, cook inlet, alaska",1
"angel fire, nm",1
"angels camp, ca",1
"angoon (city/community), southeast, alaska",1
"angoon community association, angoon, southeast, alaska",1
"aniak (city/community), kuskokwim, alaska",1
"aniak (village/city), kuskokwim, alaska",1
"aniak lake, kuskokwim, alaska",1
"aniak river, alaska",1
"anoka, mn",1
"antlen river, southeast, alaska",1
antler r bl antler lk nr auke bay ak,1
"antler-gilkey river, southeast, alaska",1
"antlers, ok",1
"anvik (city/community), yukon, alaska",1
"anvik (village/city), yukon, alaska",1
"anvik bluff, yukon, alaska",1
"anvik village, anvik, yukon, alaska",1
"anyaraq, common name aniak, kuskokwim, alaska",1
"apache junction, az",1
"apokak slough, kuskokwim, alaska",1
"apollo beach, fl",1
"apple valley, ca",1
"appomattox, va",1
"aptos, ca",1
"aransas pass, tx",1
"arapahoe, nc",1
"arcadia, ca",1
"archbold, oh",1
"archer, fl",1
"archuelinguk river (clearwater creek), yukon, alaska",1
"arctic village (see native village of venetie tribal government), venetie, yukon, alaska",1
"arctic village, ak",1
"ardenvoir, wa",1
"arizona city, az",1
"arlington, sd",1
"arlington, va",1
"arolik (village/city), kuskokwim, alaska",1
"arolik lake, kuskokwim, alaska",1
"arolik river, kuskokwim, alaska",1
"aromas, ca",1
"artesia, ca",1
"arvada, co",1
"arvesta creek, yukon, alaska",1
"arviiq, common name platinum, kuskokwim, alaska",1
"asa'carsarmiut tribe, mountain village, yukon, alaska",1
"ashburn, va",1
"asikpak river, kotzebue, alaska",1
"assignation creek, southeast, alaska",1
"astoria, ny",1
"atan, common name attu island, alaska peninsula and aleutian islands, alaska",1
"atascadero, ca",1
"athena, or",1
"athens, al",1
"athol, id",1
"atigun river, northern area, alaska",1
"atka (city/community), alaska peninsula and aleutian islands, alaska",1
"atmaulluaq, common name atmautluak, kuskokwim, alaska",1
"atmautluak (city/community), kuskokwim, alaska",1
"atqasuk (city/community), arctic, alaska",1
"atqasuk village (atkasook), atqasuk, arctic, alaska",1
"atwater, ca",1
"atwater, mn",1
"atwood, co",1
"atxˆaxˆ, common name atka, alaska peninsula and aleutian islands, alaska",1
"auburn, ca",1
"auke creek, alaska",1
"aurora, co",1
"aurora, mo",1
"aurora, nc",1
"austin, tx",1
"avalik river, northern area, alaska",1
"avan river, kotzebue, alaska",1
"avila beach, ca",1
"avon lake, oh",1
"avon, co",1
"awayak lake north, kuskokwim, alaska",1
"awayak lake south, kuskokwim, alaska",1
"awc 283-12-10100-0010, alaska",1
"awc 283-12-10100, alaska",1
"awc 283-12-11010, alaska",1
"awc 283-12-11290, alaska",1
"awc 283-12-11300-2014, alaska",1
"awc 283-34-10400, alaska",1
"awc 283-34-10430 kl2, alaska",1
"awc 283-34-10430-0010, alaska",1
"awc 283-34-10700 kl1, alaska",1
"awc 312-20-10100, alaska",1
"awc 312-20-10200, alaska",1
"awc 312-20-10300, alaska",1
"awc 312-20-11300, alaska",1
"awc 312-40-10100-2006-0010, alaska",1
"awc 312-40-10100-2006-3020, alaska",1
"awc 312-40-10100-2006-3036, alaska",1
"awc 312-40-10100-2006, alaska",1
"awc 312-40-10100-2021-3003, alaska",1
"awc 312-40-10100, alaska",1
"awc 312-40-10200, alaska",1
"awc 312-40-10300-2006-3006, alaska",1
"awc 312-40-10300-2012, alaska",1
"ayakulik river, alaska",1
"ayaucaryaq, common name mountain village, yukon, alaska",1
"ayugatak creek, northern area, alaska",1
"bad axe, mi",1
"bad creek, prince william sound, alaska",1
"baker creek, yukon, alaska",1
"bakersfield, ca",1
"bakewell lake creek, southeast, alaska",1
"baldwin, wi",1
"baldwinsville, ny",1
"banner creek, yukon, alaska",1
"banning, ca",1
"baraboo, wi",1
"baranof, ak",1
"barnes lake, southeast, alaska",1
"barnum creek, kuskokwim, alaska",1
"barrier creek, southeast, alaska",1
"barrington, il",1
"barstow, ca",1
"bascom, fl",1
"bass lake, ca",1
"bat creek, yukon - canada, alaska",1
"bath, me",1
"battle creek, alaska",1
"battle creek, mi",1
"batza creek, yukon, alaska",1
"bay city, mi",1
"bay city, or",1
"bay harbor, fl",1
"bayou la batre, al",1
"bayside, ca",1
"baytown, tx",1
"bayview, id",1
"bear creek - lower cook inlet, cook inlet, alaska",1
"bear creek (pitka fork), kuskokwim, alaska",1
"bear creek (tributary salchaket slough), yukon, alaska",1
"bear creek (tributary tanana river), yukon, alaska",1
"bear creek (y4 below bullfrog island), yukon, alaska",1
"bear creek (y5 above rampart rapids), yukon, alaska",1
"bear creek, alaska",1
"bear creek, chignik, alaska",1
"bear creek, kuskokwim, alaska",1
"bear creek, southeast, alaska",1
"bear river - chignik, chignik, alaska",1
"bear river, ak peninsula, ak",1
"bear river, ak peninsula, alaska",1
"bearfeed creek, yukon - canada, alaska",1
"bearpaw river, yukon, alaska",1
"beartrap, prince william sound, alaska",1
"beaufort, sc",1
"beaver (village/city), yukon, alaska",1
"beaver bay, mn",1
"beaver creek - yukon, yukon, alaska",1
"beaver creek (canada), yukon - canada, alaska",1
"beaver creek (downstream beaver village), yukon, alaska",1
"beaver creek (tributary anvik river), yukon, alaska",1
"beaver creek, kotzebue, alaska",1
"beaver creek, or",1
"beaver falls, southeast, alaska",1
"beaver river (canada), yukon - canada, alaska",1
"beaver village fish wheel, yukon, alaska",1
"beaver village, beaver, yukon, alaska",1
"beaver, ak",1
"beaver, wa",1
"bedford, in",1
"bedford, va",1
"belfair, wa",1
"belgrade, mt",1
"belkofski, ak",1
"bellaire, tx",1
"bellbrook, oh",1
"belmont, ca",1
"belmont, mi",1
"belt creek, norton sound/port clarence, alaska",1
"belt, mt",1
"bemidji, mn",1
"benchmark no 735 slough, yukon, alaska",1
"bensalem, pa",1
"benson, az",1
"benzeman lake outlet stream, alaska",1
"berea, oh",1
"bering lake, copper river, alaska",1
"berkeley, ca",1
"berlin, wi",1
"bermuda dunes, ca",1
"berrien springs, mi",1
"berry creek (tributary tanana river), yukon, alaska",1
"bethel (city/community), kuskokwim, alaska",1
"bethel (village/city), kuskokwim, alaska",1
"bethel, mn",1
"bethesda, md",1
"bettles (city/community), yukon, alaska",1
"bettles river, yukon, alaska",1
"bettles, ak",1
"bettylake outlet, alaska",1
"beverly hills, ca",1
"biddle, mt",1
"big boulder creek, southeast, alaska",1
"big campbell creek, yukon - canada, alaska",1
"big creek, alaska",1
"big creek, yukon - canada, alaska",1
"big eddy, yukon, alaska",1
"big horn, wy",1
"big kalzas lake, yukon - canada, alaska",1
"big kalzas river, yukon - canada, alaska",1
"big lake (city/community), cook inlet, alaska",1
"big lake, mn",1
"big river, kuskokwim, alaska",1
"big salmon fork, kuskokwim, alaska",1
"big salmon lake, yukon - canada, alaska",1
"big salmon river, yukon - canada, alaska",1
"big salmon river, yukon, alaska",1
"big salt river, yukon, alaska",1
"big sandy, mt",1
"big sky, mt",1
"bigfork, mn",1
"bigfork, mt",1
"billy creek slough, yukon, alaska",1
"billy goat creek, yukon, alaska",1
"billy hawk creek (east fork), alaska",1
"billy hawk creek (west fork), alaska",1
"billy hawk creek, yukon, alaska",1
"biloxi, ms",1
"bimahyook creek, kuskokwim, alaska",1
"binghamton, ny",1
"birch creek (downstream fort yukon), yukon, alaska",1
"birch creek (tanana r), yukon, alaska",1
"birch creek (tributary kantishna river), yukon, alaska",1
"birch creek tribe, birch creek, yukon, alaska",1
"birch creek, alaska",1
"birchtree crossing, kuskokwim, alaska",1
"birchwood, wi",1
"birkenfeld, or",1
"birkenhead river, canada",1
"bisbee, az",1
"bishop rock, yukon, alaska",1
"bishop, ca",1
"black bear creek, prince william sound, alaska",1
"black diamond, wa",1
"black eagle, mt",1
"black lake river, chignik, ak",1
"black river (coastal), yukon, alaska",1
"black river (grayling fork), yukon, alaska",1
"black river (tributary porcupine river), yukon, alaska",1
"black river, alaska",1
"black river, southeast, alaska",1
"black sand creek, yukon, alaska",1
"blackburn creek, yukon, alaska",1
"blackfoot, id",1
"blackwater creek, kuskokwim, alaska",1
"blanchard, id",1
"blanchard, wa",1
"blind creek, yukon - canada, alaska",1
"blind creek, yukon, alaska",1
"bloomington, mn",1
"bloomsburg, pa",1
"blossom river, alaska",1
"blue creek, yukon, alaska",1
"blue jay, ca",1
"bluestone river, norton sound/port clarence, alaska",1
"bluff cabin creek, yukon, alaska",1
"bluff cabin island slough, yukon, alaska",1
"bluff cabin slough site, yukon, alaska",1
"bluff cabin slough, yukon, alaska",1
"bodega bay, ca",1
"bodega, ca",1
"bodenburg butte census designated place, cook inlet, alaska",1
"bolinas, ca",1
"bolivar, mo",1
"bonanza creek (fish c), yukon, alaska",1
"bonanza creek (iditarod r), yukon, alaska",1
"bonanza river, norton sound/port clarence, alaska",1
"bonasila river, yukon, alaska",1
"bonneville, or",1
"bonney lake, wa",1
"boone, nc",1
"booneville, ar",1
"borger, tx",1
"borrego springs, ca",1
"boston creek carcass sampling, norton sound/port clarence, alaska",1
"boston creek, norton sound/port clarence, alaska",1
"boundary creek, southeast, alaska",1
"bountiful, ut",1
"bovill, id",1
"bowron river, canada",1
"box creek, yukon, alaska",1
"bradenton, fl",1
bradley r nr tidewater nr homer ak,1
"bradley river, alaska",1
"brainerd, mn",1
"breckenridge, co",1
"brentwood, ca",1
"brewster, ma",1
"brewster, wa",1
"bridger, mt",1
"brier, wa",1
"brigham city, ut",1
"brinnon, wa",1
"bristol, nh",1
"bristol, va",1
"broken arrow, ok",1
"brookfield, wi",1
"brookline, ma",1
"brooklyn park, mn",1
"brooklyn, ny",1
"brooklyn, wi",1
"brooks, or",1
"brookville, pa",1
"brownsville, or",1
"brule, wi",1
"bryan, tx",1
"bryant, al",1
"buckeye, az",1
"buckland (city/community), kotzebue, alaska",1
"buckland river, kotzebue, alaska",1
"buckner, mo",1
"buckstock river, kuskokwim, alaska",1
"bucoda, wa",1
"buena park, ca",1
"buford, wy",1
"buhl, id",1
"bullhead city, az",1
"burbank, ca",1
"burien, wa",1
"burleson, tx",1
"burley, wa",1
"burlingame, ca",1
"burlington, wi",1
"burns, or",1
"burnsville, mn",1
"buschmann creek, southeast, alaska",1
"butler creek, southeast, alaska",1
"butte, mt",1
"byers lake, cook inlet, alaska",1
"byron, mi",1
"c'uul c'ena', common name gulkana, copper river, alaska",1
"cabin creek, alaska",1
"cabool, mo",1
"cadillac, mi",1
"calais, me",1
"calico rock, ar",1
"calistoga, ca",1
"camano, wa",1
"camarillo, ca",1
"camas valley, or",1
"camas, wa",1
"cambria, ca",1
"cambridge, id",1
"camden, me",1
campbell c nr spenard ak,1
"campbell, ca",1
"campton, ky",1
"can creek, kuskokwim, alaska",1
"caniqaq, common name chenega, prince william sound, alaska",1
"canning river, northern area, alaska",1
"canoe creek, prince william sound, alaska",1
"cantwell (city/community), yukon, alaska",1
"cantwell, ak",1
"canyon city, or",1
"canyon creek (crooked creek), kuskokwim, alaska",1
"canyon creek, alaska",1
"canyon creek, norton sound/port clarence, alaska",1
"canyon creek, yukon, alaska",1
"canyon lake, ca",1
"canyon lake, kuskokwim, alaska",1
"cape coral, fl",1
"cape may point, nj",1
"cape may, nj",1
"cape pole, ak",1
"capitola, ca",1
"carbondale, co",1
"carefree, az",1
"careywood, id",1
"caribou creek (bearpaw r), yukon, alaska",1
"caribou creek (tributary hogatza river), yukon, alaska",1
"caribou creek, alaska",1
"caribou creek, yukon, alaska",1
"carlotta, ca",1
"carlsbad, ca",1
"carlsborg, wa",1
"carlton, mn",1
"carlton, or",1
"carlton, wa",1
"carmacks (village/city), yukon - canada, alaska",1
"carmen, id",1
"carmichael, ca",1
"carney, mi",1
"carrabelle, fl",1
"carrboro, nc",1
"carroll creek, southeast, alaska",1
"carson city, nv",1
"carson, ca",1
"carter creek, kuskokwim, alaska",1
"cartersville, ga",1
"casa grande, az",1
"casadepaga river, norton sound/port clarence, alaska",1
"cascade, id",1
"cashmere, wa",1
"casper, wy",1
"cassiar creek (alaska y6), yukon, alaska",1
"cassiar creek (yukon territory), yukon - canada, alaska",1
"castaic, ca",1
"castine, me",1
"castle rock, co",1
"castro valley, ca",1
"cave creek, az",1
"cave junction, or",1
"cayucos, ca",1
"cedar city, ut",1
"cedar creek, prince william sound, alaska",1
"cedar falls, ia",1
"cedar hills, ut",1
"cedar key, fl",1
"cedar rapids, ia",1
"cedaredge, co",1
"cellitemiut, common name sleetmute, kuskokwim, alaska",1
"center, co",1
"central (city/community), yukon, alaska",1
"central council of the tlingit & haida indian tribes, juneau, southeast, alaska",1
"central creek, yukon, alaska",1
"central point, or",1
"central, ak",1
"centralia, il",1
"centralia, wa",1
"ceres, ca",1
"ceresco, ne",1
"cerritos, ca",1
"cetuyaraq, common name new stuyahok, bristol bay, alaska",1
"cev’aq, common name chevak, yukon, alaska",1
"cevv’arneq, common name chefornak, kuskokwim, alaska",1
"ch’ôonjik, common name porcupine river, yukon, alaska",1
"chaik river, southeast, alaska",1
"chalk creek, alaska",1
"chalkyitsik village, chalkyitsik, yukon, alaska",1
"chalmers river, prince william sound, alaska",1
"chalukaxˆ, common name nikolski, alaska peninsula and aleutian islands, alaska",1
"chandalar river, alaska",1
"chandindu river, yukon - canada, alaska",1
"charleston, ar",1
"charley river, yukon, alaska",1
"charlotte, nc",1
"chase, ak",1
"chatanika (village/city), yukon, alaska",1
"chatham, ak",1
"chatsworth, ca",1
"chattanooga, tn",1
"chattaroy, wa",1
"cheeneetnuk river, kuskokwim, alaska",1
"cheesh-na tribe (formerly the native village of chistochina), chistochina, copper river, alaska",1
"chefornak (city/community), kuskokwim, alaska",1
"chekok creek, alaska",1
"chelan, wa",1
"chelatna lake, upper cook inlet, alaska",1
"chemult, or",1
chena r at fairbanks ak,1
chena r nr two rivers ak,1
"chenega (city/community), prince william sound, alaska",1
"cheney, wa",1
"chenik creek, cook inlet, alaska",1
"chenik lake, lower cook inlet, alaska",1
"cherry valley, ca",1
chester c at arctic boulevard at anchorage ak,1
"chester, ca",1
"chetek, wi",1
"chevak (city/community), yukon, alaska",1
"chevak native village, chevak, yukon, alaska",1
"chewelah, wa",1
"cheyenne, wy",1
"chicago, il",1
"chichester, nh",1
"chickaloon (city/community), cook inlet, alaska",1
"chickaloon native village, chickaloon, cook inlet, alaska",1
"chickaloon, ak",1
"chief creek, yukon, alaska",1
"chignik (city/community), chignik, alaska",1
"chignik bay tribal council (formerly the native village of chignik), chignik, chignik, alaska",1
"chignik lagoon (city/community), chignik, alaska",1
"chignik lake (city/community), chignik, alaska",1
"chignik lake river, chignik, ak",1
"chignik lake village, chignik lake, chignik, alaska",1
"chilkat indian village (klukwan), klukwan, southeast, alaska",1
chilkat r nr klukwan ak,1
"chilkat river, alaska",1
"chilko river, canada",1
"chilko river, fraser summer, bc",1
"chilkoot indian association (haines), haines, southeast, alaska",1
"chimevisky creek, prince william sound, alaska",1
"china poot, cook inlet, alaska",1
"china poot, lower cook inlet, alaska",1
"chineekluk creek, kuskokwim, alaska",1
"chineekluk lake, kuskokwim, alaska",1
"chiniak (city/community), kodiak, alaska",1
"chinik eskimo community (golovin), golovin, norton sound, alaska",1
"chinkelyes creek, alaska",1
"chino valley, az",1
"chinook, mt",1
"chipp river, northern area, alaska",1
"chiroskey river tower, norton sound/port clarence, alaska",1
"chiroskey river, norton sound/port clarence, alaska",1
"chisana river, yukon, alaska",1
"chisholm, mn",1
"chitina (city/community), copper river, alaska",1
"choca creek, southeast, alaska",1
"choctaw, ok",1
"cholmondeley sound, southeast, alaska",1
"christian river, yukon, alaska",1
"christmas valley, or",1
"christmas, yukon - canada, alaska",1
"chuathbaluk (city/community), kuskokwim, alaska",1
"chuathbaluk (village/city), kuskokwim, alaska",1
"chuck creek, southeast, alaska",1
"chuck lake, southeast, alaska",1
"chugiak, cook inlet, alaska",1
"chuilnak river (atchuelinguk), yukon, alaska",1
"chukowan river, kuskokwim, alaska",1
"chula vista, ca",1
chulitna r 5mi ab mouth nr port alsworth ak,1
"chulitna river, alaska",1
"chuloonawick native village, chulloonawick, yukon, alaska",1
"cingik, siŋik, common name golovin, norton sound, alaska",1
"circle (village/city), yukon, alaska",1
"circle native community, circle, yukon, alaska",1
"circle village fish wheel, yukon, alaska",1
"circle, ak",1
"cirniq, common name chignik, chignik, alaska",1
"citrus heights, ca",1
"clallam bay, wa",1
"clam gulch (city/community), cook inlet, alaska",1
"claremore, ok",1
"clarence, ny",1
"clarks point (city/community), bristol bay, alaska",1
"clayton, ca",1
"cle elum, wa",1
"clear (village/city), yukon, alaska",1
"clear air force base, yukon, alaska",1
"clear creek (tributary julius creek), yukon, alaska",1
"clear creek (tributary kantishna river), yukon, alaska",1
"clear creek (tributary tanana river), yukon, alaska",1
"clear creek hatchery (kantishna river), yukon, alaska",1
"clear creek, copper river, alaska",1
"clear creek, southeast, alaska",1
"clear lake, sd",1
"clear lake, wa",1
"clear river, southeast, alaska",1
"clear spring, southeast, alaska",1
"clear, yukon, alaska",1
"clearview, wa",1
"clearwater lake & outlet, yukon, alaska",1
"clearwater lake outlet slough, yukon, alaska",1
"clearwater, fl",1
"clermont, fl",1
"clifton, tx",1
"clintonville, wi",1
"cloquet, mn",1
"cloverdale, or",1
"clovis, ca",1
"clovis, nm",1
"coal creek, yukon, alaska",1
"cobblestone river, norton sound/port clarence, alaska",1
"cobleskill, ny",1
"cocoa, fl",1
"cody, wy",1
"coffman cove (city/community), southeast, alaska",1
"coghill river, pws, ak",1
"cohoe (city/community), cook inlet, alaska",1
"colbert, wa",1
"colby, wa",1
"cold bay (city/community), alaska peninsula and aleutian islands, alaska",1
"coldfoot (city/community), yukon, alaska",1
"coldfoot, ak",1
"coleen river, yukon, alaska",1
"colerain, nc",1
"colfax, wa",1
"college (city/community), yukon, alaska",1
"collegedale, tn",1
"collierville, tn",1
"collinsville, ca",1
"colorado springs, co",1
"colton, or",1
"coltus creek, yukon - canada, alaska",1
"columbia, ca",1
"columbia, tn",1
"colusa, ca",1
colville r at umiat ak,1
"colville river, northern area, alaska",1
commerical fisheries in alaska given by cfec,1
"comptche, ca",1
"concord, oh",1
"concrete, wa",1
"conifer, co",1
"connecticut creek, alaska",1
"conrad, mt",1
"conroe, tx",1
"constantine creek, prince william sound, alaska",1
"control creek, prince william sound, alaska",1
"cook creek, prince william sound, alaska",1
"cook, mn",1
cooper c at mouth nr cooper landing ak,1
"cooper creek, alaska",1
"cooper landing (city/community), cook inlet, alaska",1
"copalis crossing, wa",1
"copper and coghill rivers, alaska",1
"copper center (city/community), copper river, alaska",1
copper r at million dollar bridge nr cordova ak,1
"copper river, prince william sound, alaska",1
"copper river, pws, ak",1
"cordova (city/community), prince william sound, alaska",1
"cornelius, or",1
"corning, ca",1
"cornville, az",1
"corona, ca",1
"coronado, ca",1
"corpus christi, tx",1
"corte madera, ca",1
"cortez, co",1
"cortez, fl",1
"cortland, ny",1
"cosmopolis, wa",1
"cosna river, yukon, alaska",1
"costa mesa, ca",1
"cotati, ca",1
"cottage grove, or",1
"cottonwood creek, cook inlet, alaska",1
"cottonwood creek, yukon, alaska",1
"cottonwood, az",1
"cottonwood, id",1
"council ground, southeast, alaska",1
"council grove, ks",1
"cove, or",1
"covington, la",1
"covington, wa",1
"cowpen lake, prince william sound, alaska",1
"craig (city/community), southeast, alaska",1
"craig community association, craig, southeast, alaska",1
"craig, co",1
"crane lake, mn",1
"crater creek, norton sound/port clarence, alaska",1
